"","event","distance_travelled"
"1","loss_9p",148.671626065369
"2","PTEN",27.6485834768971
"3","PBRM1",34.7357562992197
"4","PIK3CA",18.1358228526459
"5","BAP1",30.5228700049986
"6","gain_8q",30.5228700049986
"7","gain_12p",30.5228700049986
"8","loss_9p",30.5228700049986
"9","loss_14q",30.5228700049986
"10","MTOR",66.2017536612367
"11","gain_1q",66.2017536612367
"12","loss_1p",66.2017536612367
"13","PBRM1",56.2831066371496
"14","ARID1A",48.0578660264747
"15","ARID1A",48.0578660264747
"16","loss_6q",43.657559051405
"17","loss_14q",43.657559051405
"18","gain_8q",62.9379547553189
"19","gain_12p",62.9379547553189
"20","PTEN",16.1386548968511
"21","loss_4q",65.8602997588338
"22","loss_8p",62.9379547553189
"23","gain_2q",17.4114576536933
"24","gain_7q",52.3164630700976
"25","loss_9p",43.657559051405
"26","gain_7q",102.68219923949
"27","gain_12p",102.68219923949
"28","loss_14q",102.68219923949
"29","gain_2q",102.68219923949
"30","gain_20q",102.530477866017
"31","loss_4q",102.68219923949
"32","gain_1q",44.7574371900892
"33","gain_20q",58.7087712834481
"34","loss_6q",58.7087712834481
"35","loss_14q",105.781959852666
"36","loss_3p",48.0753681616889
"37","loss_9p",36.306793150439
"38","loss_4q",40.5705701310804
"39","PBRM1",46.7985224443076
"40","gain_2q",91.7067758025687
"41","gain_20q",91.7067758025687
"42","gain_8q",42.9637850353764
"43","loss_9p",128.065014514454
"44","gain_1q",128.065014514454
"45","gain_5q",128.065014514454
"46","gain_7q",108.331373205751
"47","loss_8p",104.048329918357
"48","SETD2",14.1178269855527
"49","gain_2q",14.1178269855527
"50","loss_14q",84.1964873510151
"51","gain_7q",48.7408441967617
"52","loss_9p",84.1964873510151
"53","gain_1q",55.5712991855254
"54","TSC1",67.1074406522496
"55","PBRM1",67.1074406522496
"56","gain_7q",67.1074406522496
"57","loss_1p",67.1074406522496
"58","loss_4q",67.1074406522496
"59","loss_6q",67.1074406522496
"60","loss_9p",67.1074406522496
"61","gain_20q",67.1074406522496
"62","gain_2q",67.1074406522496
"63","gain_8q",67.1074406522496
"64","gain_1q",67.1074406522496
"65","PBRM1",24.3235536610008
"66","gain_8q",24.8378522105212
"67","loss_8p",24.8378522105212
"68","gain_12p",17.2699964195061
"69","loss_9p",17.2699964195061
"70","gain_7q",52.013979014558
"71","loss_14q",52.013979014558
"72","gain_20q",30.6485827519239
"73","BAP1",13.9017751742451
"74","BAP1",7.87964450639952
"75","PBRM1",93.2805364601292
"76","PBRM1",41.8026665044701
"77","gain_2q",85.7163114646289
"78","SETD2",16.1952421396933
"79","SETD2",14.0353399749467
"80","gain_20q",22.3537176116567
"81","gain_1q",93.2805364601292
"82","loss_14q",79.9806054751313
"83","loss_1p",88.5116958269726
"84","gain_5q",75.6362090330745
"85","loss_6q",84.9335437567054
"86","loss_9p",78.5864593788687
"87","gain_7q",85.7163114646289
"88","loss_4q",75.6362090330745
"89","loss_8p",77.5987766258999
"90","loss_4q",30.6381580101617
"91","loss_14q",30.6381580101617
"92","TP53",10.5400816741808
"93","BAP1",10.5400816741808
"94","gain_8q",10.5400816741808
"95","gain_12p",10.5400816741808
"96","loss_1p",10.5400816741808
"97","loss_8p",10.5400816741808
"98","gain_20q",30.6381580101617
"99","loss_3p",33.5957792369973
"100","gain_5q",42.8000496502298
"101","SETD2",92.313284587205
"102","gain_7q",86.2180686217994
"103","loss_1p",86.2180686217994
"104","gain_12p",15.2492046886401
"105","gain_20q",15.2492046886401
"106","loss_8p",15.2492046886401
"107","gain_7q",71.1570814716279
"108","gain_12p",71.1570814716279
"109","gain_20q",57.6804695707306
"110","loss_9p",71.1570814716279
"111","loss_1p",45.3758997474754
"112","gain_1q",71.1570814716279
"113","loss_6q",17.7498571795635
"114","gain_8q",16.5016669720073
"115","gain_5q",121.949463270174
"116","gain_12p",121.949463270174
"117","TSC1",66.8224265269315
"118","loss_6q",121.949463270174
"119","gain_7q",118.384402913646
"120","gain_2q",121.949463270174
"121","BAP1",50.5932514538787
"122","gain_1q",41.9244406504068
"123","gain_20q",41.9244406504068
"124","BAP1",13.1445703177248
"125","BAP1",26.250003744107
"126","BAP1",16.6988462523752
"127","MTOR",9.33792718715581
"128","SETD2",21.4358199378305
"129","loss_14q",89.1837946433831
"130","loss_9p",47.3895460002598
"131","gain_7q",71.4495861189044
"132","gain_12p",47.3895460002598
"133","gain_2q",14.0723077611422
"134","gain_8q",39.4201061705007
"135","loss_4q",14.2556131094142
"136","BAP1",42.9994291211515
"137","PBRM1",93.3354671537167
"138","PBRM1",32.7022632023392
"139","loss_14q",12.96912114
"140","PBRM1",46.8367286628427
"141","loss_4q",35.8450424139988
"142","loss_14q",35.8450424139988
"143","gain_12p",12.3477940791516
"144","gain_20q",12.3477940791516
"145","loss_6q",12.3477940791516
"146","loss_9p",12.3477940791516
"147","gain_5q",46.912404325541
"148","loss_1p",34.9985089399841
"149","gain_5q",12.643190903178
"150","loss_9p",12.643190903178
"151","PBRM1",57.0304320479671
"152","loss_9p",57.0304320479671
"153","loss_14q",57.0304320479671
"154","loss_14q",22.4698110942482
"155","gain_20q",16.6364747974843
"156","gain_2q",32.4476631765338
"157","gain_12p",32.4476631765338
"158","loss_4q",32.4476631765338
"159","loss_8p",32.4476631765338
"160","loss_9p",32.4476631765338
"161","loss_14q",76.7832220239282
"162","loss_6q",62.2969006602981
"163","PBRM1",34.7114888478491
"164","PBRM1",47.9120948973623
"165","loss_4q",96.0877041766711
"166","gain_20q",96.0877041766711
"167","gain_12p",96.0877041766711
"168","gain_12p",16.2628936832061
"169","SETD2",36.7891836822066
"170","loss_4q",88.5823963719434
"171","loss_1p",64.4653021185254
"172","SETD2",15.4849429797921
"173","gain_8q",87.7748256991621
"174","PTEN",15.4434157041885
"175","TP53",33.1495643460015
"176","SETD2",33.1495643460015
"177","SETD2",7.70249538889747
"178","SETD2",10.9129887486802
"179","SETD2",15.4434157041885
"180","loss_14q",89.1224812324786
"181","gain_20q",89.1224812324786
"182","gain_12p",87.7748256991621
"183","gain_7q",87.7748256991621
"184","loss_9p",89.1224812324786
"185","loss_6q",46.6521125813532
"186","PBRM1",25.0291966298439
"187","gain_2q",16.8101524779825
"188","gain_5q",16.8101524779825
"189","gain_7q",16.8101524779825
"190","gain_12p",16.8101524779825
"191","gain_20q",16.8101524779825
"192","loss_1p",1.8705366253312
"193","loss_8p",30.9792065474776
"194","loss_9p",1.87878532986625
"195","gain_20q",20.1414767822627
"196","loss_1p",21.3738034725379
"197","gain_5q",18.7667189677656
"198","gain_8q",27.7490849508277
"199","KDM5C",143.212747211669
"200","loss_9p",143.212747211669
"201","loss_14q",134.581441823758
"202","gain_12p",98.0485060102957
"203","gain_20q",98.0485060102957
"204","loss_4q",98.0485060102957
"205","loss_9p",98.0485060102957
"206","gain_8q",98.0485060102957
